127.0.0.1 - - [20/Jan/2020:13:51:02 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:19 -0800] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 6963
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:21 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 82070
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:21 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:21 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:21 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 200 16663
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:21 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 200 14318
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:21 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:21 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img1.jpg HTTP/1.1" 200 171228
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:22 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img2.jpg HTTP/1.1" 200 82987
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:22 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img3.jpg HTTP/1.1" 200 159102
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:24 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:37 -0800] "GET /Ecommerce_Fd_ILT/login HTTP/1.1" 200 6827
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:38 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 82070
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:38 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:38 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:38 -0800] "GET /Ecommerce_Fd_ILT/resources/css/loginpage.css HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:38 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 200 14318
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:38 -0800] "GET /Ecommerce_Fd_ILT/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:38 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 200 16663
